"ID","VERTEX","LAT","LON"
139,"1","43.3","-70.68333333"
139,"2","42.55","-70.68333333"
139,"3","42.55","-69.68333333"
139,"4","43.3","-69.68333333"
140,"1","43.36666667","-70.66666667"
140,"2","42.58333333","-70.66666667"
140,"3","42.58333333","-69.58333333"
140,"4","43.36666667","-69.58333333"
141,"1","43.41666667","-70.73333333"
141,"2","42.61666667","-70.73333333"
141,"3","42.61666667","-69.65"
141,"4","43.41666667","-69.65"
142,"1","43.43333333","-70.68333333"
142,"2","42.65","-70.68333333"
142,"3","42.65","-69.61666667"
142,"4","43.43333333","-69.61666667"
143,"1","43.56666667","-69.76666667"
143,"2","42.66666667","-69.76666667"
143,"3","42.66666667","-68.55"
143,"4","43.56666667","-68.55"
144,"1","43.86666667","-68.85"
144,"2","43.06666667","-68.85"
144,"3","43.06666667","-67.83333333"
144,"4","43.86666667","-67.83333333"
145,"1","43.43333333","-70.68333333"
145,"2","42.65","-70.68333333"
145,"3","42.65","-69.61666667"
145,"4","43.43333333","-69.61666667"
146,"1","43.45","-69.86666667"
146,"2","42.5","-69.86666667"
146,"3","42.5","-68.5"
146,"4","43.45","-68.5"
147,"1","43.91666667","-69.35"
147,"2","42.7","-69.35"
147,"3","42.7","-67.8"
147,"4","43.91666667","-67.8"
148,"1","43.43333333","-70.68333333"
148,"2","42.65","-70.68333333"
148,"3","42.65","-69.61666667"
148,"4","43.43333333","-69.61666667"
149,"1","42.11666667","-70.75"
149,"2","41.7","-70.75"
149,"3","41.7","-70.03333333"
149,"4","42.11666667","-70.03333333"
150,"1","44","-69.56666667"
150,"2","42.65","-69.56666667"
150,"3","42.65","-67.73333333"
150,"4","44","-67.73333333"
151,"1","43.38333333","-70.68333333"
151,"2","42.5","-70.68333333"
151,"3","42.5","-69.56666667"
151,"4","43.38333333","-69.56666667"
152,"1","43.3","-69.66666667"
152,"2","42.3","-69.66666667"
152,"3","42.3","-68.4"
152,"4","43.3","-68.4"
153,"1","43.85","-68.93333333"
153,"2","43.01666667","-68.93333333"
153,"3","43.01666667","-67.73333333"
153,"4","43.85","-67.73333333"
154,"1","43.1","-70.76666667"
154,"2","42.45","-70.76666667"
154,"3","42.45","-69.86666667"
154,"4","43.1","-69.86666667"
1,"1","42.7","-69.53333333"
1,"2","43.5","-69.53333333"
1,"3","43.5","-70.617"
1,"4","42.7","-70.61666667"
155,"1","43.5","-70.61666667"
155,"2","42.7","-70.61666667"
155,"3","42.7","-69.53333333"
155,"4","43.5","-69.53333333"
2,"1","41.667","-69.533"
2,"2","42.467","-69.533"
2,"3","42.467","-70.617"
2,"4","41.667","-70.617"
156,"1","42.46666667","-70.61666667"
156,"2","41.66666667","-70.61666667"
156,"3","41.66666667","-69.53333333"
156,"4","42.46666667","-69.53333333"
35,"1","41.267","-70.417"
35,"2","42.017","-70.417"
35,"3","42.017","-69.417"
35,"4","41.267","-69.417"
157,"1","42.01666667","-70.41666667"
157,"2","41.26666667","-70.41666667"
157,"3","41.26666667","-69.41666667"
157,"4","42.01666667","-69.41666667"
3,"1","41","-70.717"
3,"2","41.65","-70.717"
3,"3","41.65","-71.583"
3,"4","41","-71.583"
34,"1","42.15","-70.15"
34,"2","42.85","-70.15"
34,"3","42.85","-71.117"
